"subject" "activity" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()" "fBodyBodyGyroJerkMag-meanFreq()" "angle(tBodyAccMean,gravity)" "angle(tBodyAccJerkMean),gravityMean)" "angle(tBodyGyroMean,gravityMean)" "angle(tBodyGyroJerkMean,gravityMean)" "angle(X,gravityMean)" "angle(Y,gravityMean)" "angle(Z,gravityMean)"
NA "walking" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097" "0.167200699097"
NA "walking_upstairs" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312" "0.149917467715312"
NA "walking_downstairs" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229" "0.136518108554229"
NA "sitting" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033" "0.17254102340033"
NA "standiing" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778" "0.185066511311778"
NA "laying" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352" "0.188756189921352"
"1" NA "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392" "0.0336925915137392"
"2" NA "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598" "0.0293232352655598"
"3" NA "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486" "0.0331100106806486"
"4" NA "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862" "0.0307796873482862"
